わんりょく	腕力
きんみつ	緊密
ぎんみ	吟味
ぎんまく	銀幕
きんぼし	金星
きんぼう	近傍
きんぺん	近辺
きんべん	勤勉
きんぶん	均分
きんぴん	金品
ぎんばん	銀盤
ぎんぱつ	銀髪
きんぱつ	金髪
ぎんぱく	銀箔
きんぱく	金箔
きんぱく	緊迫
きんねん	近年
きんにくつう	筋肉痛
きんにく	筋肉
きんとう	均等
きんてい	謹呈
きんてい	欽定
きんちょう	金打
きんちょう	緊張
きんちょ	近著
きんちゃく	近着
きんちさん	禁治産
きんだん	禁断
きんだい	近代
きんたい	勤怠
きんそくれい	禁足令
きんぞく	金属
きんぞく	勤続
きんそく	禁足
きんせんか	金盞花
きんぜん	欣然
きんせん	金銭
きんせつ	近接
ぎんせい	銀製
きんせい	金星
きんせい	近世
きんせい	謹製
きんせい	禁制
きんせい	均整
きんしん	近親
きんしん	謹慎
きんじょうとうち	金城湯池
ぎんじょう	吟醸
ぎんしょう	銀賞
ぎんしょう	吟唱
きんしょう	金賞
きんしょう	僅少
きんじょ	近所
きんしゅく	緊縮
きんしゅ	金種
きんしゅ	禁酒
きんじとう	金字塔
きんじつ	近日
きんしつ	均質
きんじち	近似値
きんじ	近似
きんじ	禁じ
きんし	近視
きんし	禁止
ぎんざん	銀山
きんさく	金策
きんさく	近作
きんざい	近在
ぎんざ	銀座
きんさ	僅差
ぎんこんしき	銀婚式
きんこんしき	金婚式
きんこつ	筋骨
ぎんこう	銀行
きんこう	金鉱
きんこう	金工
きんこう	近郊
きんこう	均衡
きんこ	金庫
きんこ	禁固
きんげん	謹厳
きんけん	金権
きんけん	金券
きんけん	近県
きんけい	近景
きんけい	謹啓
きんく	禁句
きんぎん	金銀
きんきん	近々
きんきょり	近距離
きんきょう	近況
きんぎょ	金魚
きんきゅう	緊急
きんき	欣喜
きんがん	近眼
きんかん	金冠
きんかん	近刊
きんがく	金額
きんかい	金塊
きんかい	近海
ぎんが	銀河
ぎんか	銀貨
きんが	謹賀
きんか	金貨
きんか	近火
きんえん	禁煙
ぎんえい	吟詠
きんえい	近影
きんいん	近因
ぎんいろ	銀色
きんいろ	金色
きんいつ	均一
ぎん	銀
ぎん	吟
きん	金
きん	菌
きん	禁
きわめて	極めて
きわめつく	窮め尽く
きわめつき	極めつき
きわめ	極め
きわめ	究め
きわみ	極み
きわま	極ま
きわま	窮ま
きわだ	際だ
ぎわく	疑惑
きわ	際
ぎろん	議論
きろく	記録
きろ	帰路
きろ	岐路
きれめ	切れ目
きれま	切れ間
きれはし	切れ端
きれつ	亀裂
きれつ	き裂
きれこ	切れ込
きれぎれ	切れ切れ
ぎれい	儀礼
きれい	綺麗
きれい	奇麗
きりん	麒麟
きりわけ	切り分け
きりょく	気力
ぎりょう	議了
ぎりょう	技倆
ぎりょう	技量
きりょう	器量
きりゅう	気流
きりもり	切盛り
きりまわ	切り回
きりふだ	切札
きりひら	切り開
きりはり	切り貼り
きりはな	切り離
きりはな	切り放
きりぬき	切抜き
きりぬ	切り抜
きりぬ	切りぬ
きりとり	切取り
きりとり	切り取り
きりと	切り取
きりつめ	切り詰め
きりつ	起立
きりつ	規律
きりたんぽ	切りたんぽ
きりだ	切り出
きりた	切り立
きりすて	切捨て
きりすて	切り捨て
きりさめ	霧雨
きりさげ	切下げ
きりさげ	切り下げ
きりこ	切り込
きりくち	切口
きりくず	切り崩
きりきず	切傷
きりきざ	切り刻
きりかわ	切り替わ
きりかぶ	切株
きりかえ	切替え
きりかえ	切替
きりかえ	切り替え
きりおと	切り落と
きりあげ	切上げ
きりあげ	切り上げ
ぎり	切り
ぎり	義理
きり	霧
きり	切り
きり	桐
きらめ	煌
きらめ	燐
きらく	気楽
きらい	嫌い
きらい	帰来
きら	切ら
きら	嫌
きよわ	気弱
ぎょろう	漁撈
きょれい	虚礼
ぎょるい	魚類
ぎょりん	魚鱗
きょりゅう	居留
きょり	距離
きょり	巨利
きよらか	清らか
ぎょらい	魚雷
きょらい	去来
きょよう	許容
ぎょめい	御名
きよめ	清め
きょむ	虚無
ぎょみん	漁民
きょほう	虚報
きょほう	巨峰
ぎょぶつ	御物
ぎょふ	漁夫
きょふ	巨富
きょひ	拒否
きょひ	巨費
きょねん	去年
きょにんか	許認可
ぎょにく	魚肉
きょどう	挙動
きょとう	挙党
きょとう	巨頭
きょてん	拠点
きょっけい	極刑
きょっかい	曲解
きょだつ	虚脱
きょだく	許諾
きょたく	居宅
きょだい	巨大
ぎょそん	漁村
きょぞう	虚像
きょぞう	巨象
ぎょせん	漁船
きょぜつ	拒絶
きょせい	虚勢
きょせい	巨星
きょせい	去勢
きょすう	虚数
きょしんたんかい	虚心坦懐
きょじん	巨人
きょしん	虚心
きょしょくしょう	拒食症
きょしょく	虚飾
ぎょじょう	漁場
ぎょしょう	漁礁
きょしょう	裾礁
きょしょう	巨匠
きょしょ	居所
きょしゅつ	醵出
きょしゅつ	拠出
きょじゅう	居住
きょしゅう	去就
きょしゅ	挙手
きょじゃく	虚弱
きょしてき	巨視的
きょじつ	虚実
きょしつ	居室
きょしき	挙式
ぎょじ	御璽
きょし	挙止
きょこん	許婚
きょこん	虚根
ぎょこう	漁港
きょごう	倨傲
きょこう	虚構
きょこう	挙行
きょげん	虚言
ぎょぐん	魚群
きょくろん	極論
きょくりょく	極力
きょくりつ	曲率
きょくもく	曲目
きょくめん	曲面
きょくめん	局面
きょくぶ	局部
きょくばん	局番
きょくない	局内
きょくどめ	局留め
きょくどめ	局留
きょくとう	極東
きょくど	極度
きょくてん	極点
きょくちょう	曲調
きょくちょう	局長
きょくち	極致
きょくち	極地
きょくち	局地
きょくたん	極端
きょくだい	極大
きょくせん	曲線
きょくせつ	曲折
ぎょくせきこんこう	玉石混淆
きょくせい	極性
きょくしょかい	局所解
きょくしょう	極少
きょくしょう	極小
きょくしょ	局所
ぎょくさい	玉砕
きょくざい	局在
ぎょくざ	玉座
きょくげん	極限
きょくげん	極言
きょくげん	局限
きょくげい	曲芸
きょくぎ	曲技
きょくいん	局員
ぎょぐ	漁具
ぎょく	玉
きょく	極
きょく	曲
きょく	局
きょきょじつじつ	虚々実々
ぎょぎょう	漁業
ぎょきょう	漁協
きょぎょう	虚業
きょぎ	虚偽
ぎょがん	魚眼
きょがく	巨額
ぎょかい	魚介
きょか	許可
ぎょえい	魚影
きょえい	虚栄
きょうわせい	共和制
きょうわこく	共和国
きょうわ	協和
きょうわ	共和
きょうれん	教練
ぎょうれつ	行列
きょうれつ	強烈
きょうれい	強冷
きょうりょく	強力
きょうりょく	協力
きょうりょう	狭量
きょうりょう	橋梁
きょうりゅう	恐竜
きょうりつ	共立
きょうり	郷里
きょうらん	狂乱
きょうらん	供覧
きょうらく	享楽
きょうよう	教養
きょうよう	強要
きょうよう	共用
きょうよ	供与
きょうゆう	梟雄
きょうゆう	共有
きょうゆう	享有
きょうゆ	教諭
きょうやく	協約
きょうめん	鏡面
きょうめい	響鳴
きょうめい	共鳴
ぎょうむ	業務
きょうむ	教務
きょうみ	興味
ぎょうまつ	行末
きょうま	京間
きょうほん	狂奔
きょうぼく	喬木
きょうぼう	狂暴
きょうぼう	凶暴
きょうぼう	共謀
きょうほ	競歩
きょうべん	教鞭
きょうべん	強弁
きょうぶんさん	共分散
きょうふう	強風
きょうぶ	胸部
きょうふ	恐怖
きょうび	今日日
きょうはん	共犯
きょうはく	脅迫
きょうはく	強迫
きょうばい	競売
きょうねん	享年
きょうとうほ	橋頭堡
きょうどうたい	共同体
ぎょうとう	行頭
きょうどう	経堂
きょうどう	協同
きょうどう	共同
きょうとう	驚倒
きょうとう	教頭
きょうとう	共闘
きょうど	郷土
きょうど	強度
きょうと	教徒
きょうてんどうち	驚天動地
ぎょうてん	仰天
きょうてん	経典
きょうてき	強敵
きょうてい	教程
きょうてい	協定
きょうてい	競艇
きょうつう	共通
きょうちょう	強調
きょうちょう	協調
きょうちょう	凶兆
きょうちょ	共著
きょうちゅう	胸中
きょうち	境地
きょうだん	教壇
きょうだん	教団
きょうだん	凶弾
きょうたん	驚嘆
きょうたく	供託
ぎょうたい	業態
きょうだい	兄弟
きょうだい	鏡台
きょうだい	橋台
きょうだい	強大
きょうたい	狂態
きょうだ	怯懦
きょうだ	強打
きょうぞん	共存
きょうそん	共存
きょうぞめ	京染
きょうそく	教則
きょうそうきょく	協奏曲
ぎょうそう	形相
きょうぞう	鏡像
きょうぞう	胸像
きょうそう	強壮
きょうそう	競走
きょうそう	競争
きょうそ	教祖
ぎょうせき	業績
ぎょうせい	行政
きょうせい	矯正
きょうせい	教生
きょうせい	強請
きょうせい	強制
きょうせい	共生
きょうせい	共棲
ぎょうずい	行水
きょうしんしょう	狭心症
きょうじん	狂人
きょうじん	強靭
きょうしん	強震
きょうしん	強心
きょうしん	共振
きょうしょく	教職
ぎょうしょう	行商
きょうじょう	教条
きょうじょう	教場
きょうしょう	狭小
ぎょうしょ	行書
きょうしょ	教書
きょうじゅん	恭順
きょうじゅつ	供述
きょうしゅつ	供出
ぎょうしゅく	凝縮
きょうしゅく	恐縮
きょうしゅうじょ	教習所
ぎょうしゅう	凝集
きょうしゅう	郷愁
きょうしゅう	強襲
ぎょうしゅ	業種
きょうじゅ	教授
きょうじゅ	享受
きょうじゃく	強弱
ぎょうしゃ	業者
きょうしゃ	強者
きょうしつ	教室
きょうしき	胸式
ぎょうじ	行事
ぎょうじ	行司
ぎょうし	凝視
きょうじ	矜持
きょうじ	教示
きょうじ	凶事
きょうじ	共時
きょうし	教師
きょうさん	協賛
きょうさん	共産
きょうざめ	興ざめ
きょうざつ	夾雑
きょうさく	凶作
きょうさく	競作
きょうざい	教材
きょうさい	恐妻
きょうさい	共済
きょうさい	共催
ぎょうざ	餃子
きょうさ	教唆
きょうこつ	胸骨
きょうこく	強国
きょうこく	峡谷
きょうこうぐん	強行軍
きょうごう	強豪
きょうごう	競合
きょうこう	恐慌
きょうこう	強行
きょうこう	強硬
きょうこう	凶行
ぎょうこ	凝固
きょうご	教護
きょうこ	強固
きょうけんびょう	狂犬病
きょうげん	狂言
きょうけん	強権
きょうけん	強健
ぎょうけつ	凝血
ぎょうけつ	凝結
きょうけつ	供血
きょうげき	挟撃
きょうげき	京劇
きょうくん	教訓
きょうぐう	境遇
きょうきん	胸襟
ぎょうぎょうし	仰々し
きょうぎょう	協業
きょうきゅう	供給
きょうきゃく	橋脚
ぎょうぎ	行儀
きょうぎ	経木
きょうぎ	狭義
きょうぎ	教義
きょうぎ	協議
きょうぎ	競技
きょうき	驚喜
きょうき	狂気
きょうき	狂喜
きょうき	凶器
きょうき	侠気
ぎょうかん	行間
きょうかん	教官
きょうかん	共感
きょうかつ	恐喝
きょうかしょ	教科書
ぎょうかく	行革
ぎょうかく	仰角
きょうがく	驚愕
きょうがく	共学
きょうかく	胸郭
きょうかく	侠客
ぎょうかい	業界
きょうがい	境涯
きょうかい	教誨
きょうかい	教会
きょうかい	境界
きょうかい	協会
きょうが	恭賀
きょうか	教科
きょうか	教化
きょうか	強化
きょうおう	供応
きょうえん	饗宴
きょうえん	共演
きょうえん	競演
きょうえつ	恐悦
きょうえき	共益
きょうえい	共栄
きょうえい	競泳
きょういん	教員
きょういく	教育
きょうい	驚異
きょうい	脅威
きょうい	胸囲
きょうい	強意
きょうあい	狭隘
ぎょう	行
きよう	起用
きよう	器用
きょう	今日
きょう	経
きょう	饗
きょう	興
きょう	狂
きょう	強
きょう	境
きょう	卿
きょう	凶
きょう	供
きょう	京
ぎょい	御意
ぎょ	御
きよ	清
きよ	寄与
きょ	虚
きょ	挙
きょ	居
きゅうれき	旧暦
きゅうれい	急冷
きゅうりょうび	給料日
きゅうりょう	給料
きゅうりょう	丘陵
きゅうりゅう	急流
きゅうり	胡瓜
きゅうらく	急落
きゅうらい	旧来
きゅうよう	急用
きゅうよう	休養
きゅうよ	給与
きゅうゆう	旧友
きゅうゆう	級友
きゅうゆ	給油
きゅうめん	球面
きゅうめい	糾明
きゅうめい	究明
きゅうめい	救命
きゅうむ	急務
きゅうみん	休眠
きゅうぼう	窮乏
きゅうほう	急報
ぎゅうほ	牛歩
きゅうぼ	急募
きゅうへん	急変
きゅうふきん	給付金
きゅうふ	給付
きゅうびょう	急病
きゅうばん	吸盤
きゅうはん	旧版
きゅうはく	窮迫
きゅうはく	急迫
ぎゅうば	牛馬
きゅうば	急場
きゅうは	急派
きゅうねん	旧年
きゅうねつ	急熱
ぎゅうにゅう	牛乳
きゅうにゅう	吸入
ぎゅうにく	牛肉
きゅうどう	旧道
きゅうどう	弓道
きゅうとう	給湯
きゅうとう	急騰
きゅうでん	給電
きゅうでん	宮殿
きゅうてん	急転
きゅうていしゃ	急停車
きゅうてい	宮廷
きゅうちょう	級長
きゅうちゅう	宮中
きゅうちゃく	吸着
きゅうち	旧知
きゅうち	窮地
きゅうだん	給弾
きゅうだん	糾弾
きゅうだん	球団
きゅうだい	及第
きゅうたい	旧態
きゅうたい	球体
きゅうそく	急速
きゅうそく	休息
きゅうぞう	急増
きゅうそう	急送
きゅうせんぽう	急先鋒
きゅうせん	休戦
きゅうせき	旧跡
きゅうせき	求積
きゅうせいちょう	急成長
きゅうせいしゅ	救世主
きゅうせい	旧姓
きゅうせい	旧制
きゅうせい	急逝
きゅうせい	急性
きゅうすう	級数
きゅうすい	給水
きゅうすい	吸水
きゅうす	急須
きゅうじん	求人
きゅうしん	急進
きゅうしん	休診
きゅうじょたい	救助隊
きゅうしょく	給食
きゅうしょく	求職
きゅうしょく	休職
きゅうじょうしょう	急上昇
きゅうじょう	窮状
きゅうじょう	球状
きゅうじょう	球場
きゅうじょう	宮城
きゅうじょう	休場
きゅうじょ	救助
きゅうしょ	急所
きゅうしゅん	急峻
きゅうしゅつ	救出
きゅうしゅう	吸収
きゅうしゃ	厩舎
きゅうしふ	休止符
きゅうじつ	休日
きゅうしき	旧式
きゅうじ	給仕
きゅうし	急死
きゅうし	休止
きゅうし	臼歯
きゅうさい	救済
きゅうさい	休載
きゅうこん	球根
きゅうこん	求婚
きゅうこく	急告
きゅうこうか	急降下
きゅうごう	鳩合
きゅうごう	糾合
きゅうこう	急行
きゅうこう	休講
きゅうこう	休耕
きゅうこう	休校
ぎゅうご	牛後
きゅうご	救護
きゅうげん	急減
きゅうけつき	吸血鬼
きゅうけつ	吸血
きゅうげき	急激
きゅうけい	球形
きゅうけい	求刑
きゅうけい	急啓
きゅうけい	休憩
きゅうくつ	窮屈
きゅうきん	給金
きゅうきょく	究極
きゅうぎょう	休業
きゅうきょ	急遽
きゅうきょ	急きょ
きゅうきゅうしゃ	救急車
きゅうきゅう	汲々
きゅうきゅう	救急
きゅうぎ	球技
きゅうき	吸気
きゅうかんちょう	九官鳥
きゅうかん	旧館
きゅうかん	急患
きゅうかん	休館
きゅうかん	休閑
きゅうかん	休刊
きゅうかな	旧仮名
きゅうかな	旧カナ
きゅうがく	休学
きゅうかく	球殻
きゅうかい	休会
きゅうか	旧家
きゅうか	休暇
きゅうえん	救援
きゅうえん	休演
きゅういん	吸引
きゅうあい	求愛
ぎゅう	牛
きゆう	杞憂
きゅう	九
きゅう	旧
きゅう	給
きゅう	級
きゅう	窮
きゅう	球
きゅう	灸
きゅう	急
きゅう	休
きゅう	仇
ぎゃっこう	逆行
きゃっこう	脚光
ぎゃっきょう	逆境
きゃっかん	客観
きゃっか	却下
きゃたつ	脚立
きやせ	着痩せ
きやすめ	気休め
きやす	気安
きゃしゃ	華奢
ぎゃくりゅう	逆流
ぎゃくり	逆理
ぎゃくよう	逆用
ぎゃくもどり	逆戻り
きゃくま	客間
きゃくほん	脚本
ぎゃくふう	逆風
きゃくど	客土
ぎゃくてん	逆転
きゃくちゅう	脚注
ぎゃくたい	虐待
きゃくせん	脚線
きゃくせん	客船
ぎゃくせつ	逆説
ぎゃくせつ	逆接
きゃくせき	客席
ぎゃくすう	逆数
きゃくじん	客人
きゃくしょく	脚色
ぎゃくじょう	逆上
ぎゃくじゅん	逆順
ぎゃくしゅう	逆襲
きゃくしゃ	客車
きゃくしつ	客室
きゃくし	客死
ぎゃくさん	逆算
ぎゃくさつ	虐殺
きゃくえん	客演
きゃくいん	脚韻
きゃくいん	客員
きゃくあし	客足
ぎゃく	逆
きやく	規約
きゃく	客
ぎもんし	疑問視
ぎもん	疑問
きもん	鬼門
きもの	着物
きもったま	肝っ玉
きもち	気持ち
きもち	気持
きも	肝
きめて	決め手
きめつけ	決めつけ
きめこまか	きめ細か
きめこ	決め込
ぎめい	偽名
きめい	記名
きめ	木目
きめ	肌理
きめ	決め
ぎむづけ	義務づけ
きむづかし	気難し
きむずかし	気難し
ぎむ	義務
きみょう	奇妙
きみどり	黄緑
きみつ	機密
きみたち	君達
きみじか	気短
きみがわる	気味が悪
ぎみ	気味
きみ	君
きみ	気味
きみ	黄身
ぎまん	欺瞞
きまま	気まま
きまって	決って
きまつ	期末
きまず	気まず
きまぐれ	気まぐれ
きまえ	気前
きま	決ま
きま	決
きま	極
きほん	基本
きぼり	木彫り
きぼね	気骨
ぎほう	技法
きぼう	希望
きほう	貴方
きほう	記法
ぎぼ	義母
きぼ	規模
ぎへんすう	疑変数
きべん	詭弁
きへい	騎兵
ぎふん	義憤
きぶん	気分
きぶとり	着太り
きぶっせい	気ぶっせい
きぶくれ	着膨れ
きふく	起伏
きふう	気風
ぎふ	義父
きふ	寄付
きびん	機敏
きひん	貴賓
きひん	気品
きびょう	奇病
きひょう	起票
きひつ	起筆
きびたき	黄鶲
きびす	踵
きびし	厳し
きびき	忌引
きび	黍
きび	機微
きひ	忌避
きばん	基盤
きはん	規範
きばらし	気晴らし
きはつゆ	揮発油
きばつ	奇抜
きはつ	揮発
きばたらき	気ばたらき
きはだ	木肌
きはずかし	気恥ずかし
きはじめ	来始め
きはじめ	来はじめ
きばく	起爆
きはく	気迫
きはく	希薄
きば	木場
きば	騎馬
きば	気張
きば	牙
きば	黄ば
きのり	気乗り
きのどく	気の毒
きのと	乙
きのこ	茸
きのえ	甲
ぎのう	技能
きのう	昨日
きのう	帰納
きのう	機能
きねんひん	記念品
きねんび	記念日
きねんひ	記念碑
ぎねん	疑念
きねん	記念
きねん	祈念
きね	杵
きぬた	砧
きぬがさ	衣笠
きぬいと	絹糸
きぬ	絹
きぬ	衣
きにん	帰任
きにゅう	記入
きにち	忌日
きにい	気に入
きなさ	来なさ
きなが	気長
きない	機内
きどるい	希土類
きとく	既得
きとく	奇特
きとく	危篤
きどうたい	機動隊
きどう	軌道
きどう	起動
きどう	機動
きとう	祈祷
きとう	帰投
きど	木戸
きど	輝度
きど	気取
きど	気ど
きと	帰途
きと	企図
きでん	貴殿
きてん	起点
きてん	貴店
きてん	機転
きてん	基点
きてき	汽笛
きていち	既定値
ぎてい	議定
きてい	規程
きてい	規定
きてい	既定
きてい	基底
きつもん	詰問
きっぽう	吉報
きっぷ	切符
きっぷ	気っ風
きつね	狐
きって	切手
きつつき	啄木鳥
きっちょう	吉兆
きづち	木槌
きっせき	詰責
きっすい	生粋
きっすい	喫水
ぎっしゃ	牛車
きっさてん	喫茶店
きっさき	切先
きっさ	喫茶
きっこう	亀甲
きづけ	気付
きつけ	着付け
きっく	キック
きっきょう	吉凶
きづかれ	気疲れ
きっかけ	切っ掛け
きづか	気遣
きつえん	喫煙
きづ	気付
きづ	気づ
きっ	喫
きちょうめん	几帳面
ぎちょう	議長
きちょう	貴重
きちょう	記帳
きちょう	機長
きちょう	基調
きちゅう	忌中
きちゃく	帰着
きちじつ	吉日
きちじ	吉事
きちがい	気違い
きち	吉
きち	貴地
きち	機知
きち	既知
きち	基地
きだん	気団
きたん	忌憚
きたる	来る
きたまわり	北回り
きたはんきゅう	北半球
きたならし	汚らし
きたな	汚
きだて	気だて
きたけ	着丈
きたぐち	北口
きたく	帰宅
きたく	寄託
きたがわ	北側
きたかぜ	北風
きたえあげ	鍛え上げ
きたえ	鍛え
きたいち	期待値
ぎだい	議題
きだい	貴台
きたい	稀代
きたい	気体
きたい	機体
きたい	期待
きたい	奇態
きたい	奇体
きたい	危殆
きた	来た
きた	来
きた	北
きぞん	既存
きそん	毀損
きそん	既存
ぎぞく	義賊
ぎそく	義足
きぞく	貴族
きぞく	帰属
きそく	規則
きそく	気息
きそうてんがい	奇想天外
ぎぞう	偽造
ぎそう	艤装
ぎそう	擬装
ぎそう	偽装
きぞう	寄贈
きそう	起草
きそう	寄贈
きそ	競
きそ	起訴
きそ	基礎
ぎぜん	偽善
きぜん	毅然
きせん	汽船
きせん	基線
きぜつ	気絶
きせつ	季節
きせつ	既設
ぎせき	議席
きせき	軌跡
きせき	奇跡
ぎせい	犠牲
きせい	規正
きせい	規制
きせい	気勢
きせい	帰省
きせい	既製
きせい	既成
きせい	寄生
きせい	奇声
きせ	着せ
きずな	絆
きずつけ	傷つけ
きずつ	傷つ
きずぐち	傷口
きずきあげ	築き上げ
きすう	帰趨
きすう	奇数
きすい	既遂
きずあと	傷跡
きず	瑕
きず	築
きず	傷
きす	鱚
ぎしんあんき	疑心暗鬼
ぎじん	擬人
ぎしん	疑心
きじん	奇人
きしん	貴信
きしん	寄進
ぎじろく	議事録
きしょく	気色
きしょうてんけつ	起承転結
きしょうだい	気象台
ぎじょう	議場
ぎしょう	偽証
ぎしょう	偽称
きじょう	騎乗
きじょう	軌条
きじょう	気丈
きじょう	機上
きじょう	机上
きしょう	起床
きしょう	記章
きしょう	稀少
きしょう	気性
きしょう	気象
きしょう	希少
ぎしょ	偽書
きじょ	貴女
きしょ	貴書
きしょ	期初
きじゅん	規準
きじゅん	基準
ぎじゅつ	技術
きじゅつ	記述
きじゅつ	奇術
きしゅつ	既出
きしゅく	寄宿
きじゅうき	起重機
きじゅう	機銃
きしゅう	奇襲
ぎしゅ	義手
きじゅ	喜寿
きしゅ	騎手
きしゅ	機首
きしゅ	機種
きしゅ	期首
きしゅ	旗手
きしゅ	奇手
きしゃく	希釈
きしゃ	貴社
きしゃ	記者
きしゃ	汽車
きしゃ	帰社
きしべ	岸辺
きじばと	雉鳩
ぎじどう	議事堂
きじつ	期日
きしつ	気質
きじく	機軸
きじく	基軸
ぎしき	儀式
きしかいせい	起死回生
ぎじ	議事
ぎじ	疑似
ぎし	義肢
ぎし	技師
ぎし	技士
きじ	雉
きじ	木地
きじ	生地
きじ	記事
きし	軋
きし	騎士
きし	貴誌
きし	棋士
きし	岸
きさん	起算
きさん	帰参
きさらぎ	如月
きざみつけ	刻みつけ
きざみこ	刻み込
きざみ	刻
きさま	貴様
ぎさく	偽作
きさく	気さく
きさき	妃
きさき	后
きざい	機材
きさい	鬼才
きさい	起債
きさい	記載
きさい	既済
きさい	奇才
きざ	萌
きざ	兆
きざ	刻
きざ	気障
きこん	既婚
きこな	着こな
きこつ	気骨
きこしめ	聞こし召
きごころ	気心
ぎごく	疑獄
きこく	貴国
きこく	帰国
きこえよがし	聞こえよがし
きこえ	聞こえ
きこうぼん	稀覯本
きこうし	貴公子
ぎこう	技巧
きごう	記号
きごう	揮毫
きこう	起工
きこう	貴校
きこう	紀行
きこう	稀覯
きこう	気孔
きこう	気功
きこう	気候
きこう	帰港
きこう	機構
きこう	寄稿
きこう	寄港
きこう	奇行
きご	季語
きこ	着込
きげんぜん	紀元前
きげん	起源
きげん	紀元
きげん	機嫌
きげん	期限
きけん	気圏
きけん	棄権
きけん	危険
ぎけつ	議決
きけつ	帰結
きけつ	既決
きげき	喜劇
きけい	貴兄
きけい	奇形
きくん	貴君
きぐろう	気苦労
きぐらい	気位
きくみ	菊見
きくばり	気配り
きくばり	気くばり
きぐう	奇遇
きぐ	機具
きぐ	器具
きぐ	危惧
きく	鞠
きく	菊
きく	掬
きく	規矩
ききんぞく	貴金属
ききん	寄金
ききん	基金
ききわけ	聞き分け
ぎきょく	戯曲
きぎょうたい	企業体
ぎきょうしん	義侠心
きぎょうか	起業家
きぎょう	起業
きぎょう	企業
ききょう	桔梗
ききょう	帰郷
ききょう	帰京
ききょう	奇矯
ききょ	起居
ききゅう	気球
ききゅう	希求
ききゃく	棄却
ききめ	効き目
ききなが	聞き流
ききと	聞き取
ききて	聞き手
ききだ	聞き出
ききこ	聞き込
ききこ	聴き込
ききぐるし	聞き苦し
ききかえ	聞き返
ききいれ	聞き入れ
ききいっぱつ	危機一髪
ききい	聞き入
ききい	聴き入
ぎぎ	疑義
きき	効き
きき	機器
きき	危機
きかんしゃ	機関車
きかんしえん	気管支炎
きかんし	気管支
ぎかん	技官
きがん	祈願
きかん	貴簡
きかん	季刊
きかん	気管
きかん	帰還
きかん	機関
きかん	期間
きかん	既刊
きかん	基幹
きかん	器官
きがる	気軽
きがまえ	気構え
きがね	気兼ね
きかざ	着飾
きがく	器楽
きかく	規格
きかく	企画
きがかり	気がかり
きかがく	幾何学
きがえ	着替え
きかいか	機械化
ぎかい	議会
きがい	気概
きがい	危害
きかい	機械
きかい	機会
きかい	奇怪
きかい	器械
きが	飢餓
きか	貴下
きか	気化
きか	帰化
きか	幾何
ぎおん	擬音
きおん	気温
きおち	気落ち
きおくれ	気遅れ
きおく	記憶
きおうしょう	既往症
きおう	既往
きおいた	気負い立
きお	気負
ぎえんきん	義援金
きえん	気炎
きえさ	消え去
きえい	消え入
きえい	気鋭
きえい	機影
きえ	消え
きえ	帰依
きうん	気運
きうん	機運
きう	気宇
ぎいん	議院
ぎいん	議員
きいん	起因
きいろ	黄色
きいと	生糸
きい	貴意
きい	奇異
ぎあん	議案
きあん	起案
きあつ	気圧
ぎあく	偽悪
きあい	気合い
ぎ	切
ぎ	議
ぎ	義
ぎ	擬
ぎ	儀
き	利
き	木
き	聞
き	伐
き	聴
き	着
き	切
き	訊
き	樹
き	斬
き	効
き	記
き	季
き	気
き	帰
き	機
き	期
き	忌
き	奇
き	基
き	器
き	黄
かんわきゅうだい	閑話休題
かんわ	緩和
かんわ	漢和
かんろに	甘露煮
かんろく	貫禄
がんろう	玩弄
かんろ	甘露
かんろ	寒露
かんれん	関連
かんれき	還暦
かんれい	慣例
かんれい	寒冷
かんるい	感涙
がんりょう	顔料
かんりょう	官僚
かんりょう	完了
かんりゅう	寒流
かんりゃくか	簡略化
かんりゃく	簡略
かんりにん	管理人
かんりしょく	管理職
かんりしゃ	管理者
がんりき	眼力
がんり	元利
かんり	管理
かんり	官吏
かんらん	観覧
かんらく	陥落
かんらく	歓楽
がんらい	元来
かんようしょくぶつ	観葉植物
かんよう	肝要
かんよう	慣用
かんよう	寛容
かんよ	関与
がんゆう	含有
かんゆう	勧誘
かんゆ	換喩
がんやく	丸薬
かんやく	簡約
かんやく	監訳
かんやく	完訳
かんもん	関門
かんもん	喚問
がんもく	眼目
がんめん	顔面
がんめいころう	頑迷固陋
がんめい	頑迷
かんめい	簡明
かんめい	感銘
かんむりょう	感無量
かんむり	冠
かんみん	官民
かんみ	甘味
かんまん	緩慢
かんまん	干満
かんまつ	巻末
がんぽん	元本
かんぼつ	陥没
かんぼく	潅木
かんぽうやく	漢方薬
かんぽうのまじわり	管鮑の交わり
がんぼう	願望
かんぽう	漢方
かんぽう	官報
かんぼう	感冒
かんぼう	官房
かんべん	簡便
かんべん	勘弁
かんべつ	鑑別
がんぺき	岸壁
かんぺき	完璧
かんぺき	完ぺき
かんぶん	漢文
かんぶつ	乾物
かんぷく	感服
かんぷう	完封
かんぷう	寒風
かんぷ	還付
かんぷ	完膚
かんぷ	乾布
かんぶ	患部
かんぶ	幹部
かんぴょう	干瓢
かんぴょう	乾瓢
かんびょう	看病
がんぴし	雁皮紙
かんび	完備
がんばん	岩盤
かんぱん	甲板
かんぱん	乾パン
かんばん	看板
かんぱつ	煥発
かんばつ	旱魃
かんばつ	間伐
かんばつ	簡抜
かんばし	芳し
かんぱく	関白
かんぱい	完敗
かんぱい	乾杯
かんばい	完売
